provider,region,ip
azure,seoul,4.181.0.0
azure,washington,4.156.0.0
azure,dublin,4.207.0.0
azure,mumbai,4.187.64.0
azure,sao-paulo,65.54.67.0
azure,melbourne,52.121.106.0
aws,ap-northeast-2,3.5.140.0
aws,us-east-1,13.34.66.0
aws,eu-west-1,99.87.32.0
aws,ap-south-1,3.108.0.0
aws,sa-east-1,3.2.35.64
aws,me-south-1,15.185.0.0
oracle,us-phoenix-1,129.146.128.0
oracle,sa-saopaulo-1,129.148.16.0
oracle,uk-cardiff-1,129.151.64.0
oracle,ap-seoul-1,64.110.64.0
oracle,me-dubai-1,139.185.32.0
oracle,eu-amsterdam-1,140.204.84.0